time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2024/10/19/10:29:07.958490,14999,1729301347,875186479,gps,2,0,37.2389229,126.7729567,29.809,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0006250000000000001)",2
2024/10/19/10:29:08.096727,15000,1729301348,186457,gps,2,0,37.2389241,126.77295749999999,29.807000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0006250000000000001)",2
2024/10/19/10:29:08.202497,15001,1729301348,125186436,gps,2,0,37.2389252,126.7729581,29.808,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0006250000000000001)",2
2024/10/19/10:29:08.336418,15002,1729301348,250186415,gps,2,0,37.238926299999996,126.77295869999999,29.819,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000676)",2
2024/10/19/10:29:08.461400,15003,1729301348,375186394,gps,2,0,37.2389273,126.77295939999999,29.831,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0006250000000000001)",2
2024/10/19/10:29:08.582231,15004,1729301348,500186372,gps,2,0,37.2389285,126.7729602,29.846,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000529)",2
2024/10/19/10:29:08.743046,15005,1729301348,625186351,gps,2,0,37.2389296,126.772961,29.855,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000529)",2
2024/10/19/10:29:08.830900,15006,1729301348,750186330,gps,2,0,37.2389309,126.77296179999999,29.856,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00048399999999999995)",2
2024/10/19/10:29:08.955731,15007,1729301348,875186308,gps,2,0,37.2389322,126.7729626,29.859,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00048399999999999995)",2
2024/10/19/10:29:09.082810,15008,1729301349,186287,gps,2,0,37.238933599999996,126.7729633,29.862000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00048399999999999995)",2
2024/10/19/10:29:09.211883,15009,1729301349,125186266,gps,2,0,37.2389351,126.77296439999999,29.86,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00048399999999999995)",2
2024/10/19/10:29:09.334274,15010,1729301349,250186245,gps,2,0,37.238936599999995,126.7729653,29.858,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00048399999999999995)",2
2024/10/19/10:29:09.462803,15011,1729301349,375186223,gps,2,0,37.2389382,126.7729663,29.846,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00048399999999999995)",2
2024/10/19/10:29:09.581336,15012,1729301349,500186202,gps,2,0,37.2389398,126.7729674,29.835,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00048399999999999995)",2
2024/10/19/10:29:09.705518,15013,1729301349,625186181,gps,2,0,37.2389417,126.77296829999999,29.839000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00048399999999999995)",2
2024/10/19/10:29:09.831261,15014,1729301349,750186160,gps,2,0,37.2389434,126.77296949999999,29.847,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00044100000000000004)",2
2024/10/19/10:29:09.953274,15015,1729301349,875186138,gps,2,0,37.2389453,126.7729705,29.849,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00044100000000000004)",2
2024/10/19/10:29:10.093893,15016,1729301350,186117,gps,2,0,37.2389471,126.7729717,29.86,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00044100000000000004)",2
2024/10/19/10:29:10.219244,15017,1729301350,125186096,gps,2,0,37.238949,126.7729729,29.856,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00044100000000000004)",2
